DEPARTMENT_GROUP,RANK_CHANGE,SCORE_CHANGE,POPULARITY_CHANGE,FIELD_RATE_mean,FIRST_RANK_mean,FIRST_SCORE_mean,DEPARTMENT_ID_count,TREND_CATEGORY
  Protohistorya ve Ön Asya Arkeolojisi,0.0965,0.022,0.0608,0.93,196758.6117,327.3217,3.0,Growing
Uluslararasý Ticaret ve Lojistik (Fakülte) (Ýngilizce) (Burslu),0.0198,0.0172,0.0605,0.9067,296252.7467,306.26,54.1667,Growing
  Ýlahiyat (Burslu),0.0393,0.0373,0.0587,0.865,141204.7633,391.085,4.5,Growing
  Tarým Ticareti ve Ýþletmeciliði (Ýngilizce) (%50 Ýndirimli),1.7194,-0.0269,0.0585,0.8517,194175.9167,352.6517,1.8333,Growing
  Teknoloji ve Bilgi Yönetimi (%50 Ýndirimli),0.3867,-0.0245,0.0573,0.8717,346612.555,307.0733,2.3333,Growing
  Tarih (Açýköðretim),1.1318,-0.0093,0.057,0.8683,7836.5833,430.5117,2.8333,Growing
  Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði (Ýngilizce) (%50 Ýndirimli),-0.0066,0.0311,0.0567,0.8683,85566.4167,402.6767,1.6667,Growing
  Tarih (ÝÖ),-0.1966,0.0214,0.0554,0.735,137983.475,339.525,41.1667,Growing
Sosyoloji(ÝÖ),0.0577,0.0105,0.0552,0.9233,242412.8567,320.575,84.5,Growing
  Ýslam Ýktisadý ve Finans (Ýngilizce) (%50 Ýndirimli),39.9349,0.1375,0.0545,0.874,248825.366,348.77,2.4,Growing
  Halkla Ýliþkiler ve Reklamcýlýk (Ýngilizce) (%50 Ýndirimli),0.019,0.0224,0.0543,0.8433,225539.8833,325.675,18.0,Growing
  Makine Mühendisliði (M.T.O.K.) (ÝÖ),-0.0125,0.0456,0.0542,0.9175,227474.25,310.7225,1.0,Growing
Deniz Ulaþtýrma Ýþletme Mühendisliði (Yüksekokul) (Ýngilizce) (Burslu),0.042,0.0177,0.0541,0.87,135394.9733,364.4767,7.5,Growing
  Doðu Dilleri (Çin Dili ve Edebiyatý)  ,0.5226,-0.0319,0.0533,0.9333,41899.4167,343.845,1.8333,Growing
  Reklam Tasarýmý ve Ýletiþimi (Ýngilizce) (%50 Ýndirimli),0.4638,0.0228,0.0533,0.9333,62169.6667,377.7767,1.8333,Growing
  Uluslararasý Ticaret ve Ýþletmecilik (%50 Ýndirimli),0.1016,0.0133,0.053,0.925,359970.2583,294.7267,18.0,Growing
Halkla Ýliþkiler ve Pazarlama Ýletiþimi (%50 Ýndirimli),0.273,-0.0053,0.052,0.8533,317907.6833,302.7033,6.5,Growing
Sanat ve Kültür Yönetimi (Ücretli),-0.3067,0.0554,0.0512,0.966,32183.9,397.022,1.8,Growing
Tarih(%50 Ýndirimli),-0.1673,0.0214,0.0502,0.8817,31109.3083,470.0483,12.3333,Growing
  Lojistik Yönetimi (Ýngilizce) (Ücretli),0.1676,0.0422,0.0497,0.8925,286564.0575,327.7225,21.75,Growing
  Rus Dili ve Edebiyatý (Rusça) (%50 Ýndirimli),0.1054,0.013,0.0478,0.775,216716.98,323.12,17.3333,Growing
"Ýngilizce, Fransýzca Mütercim ve Tercümanlýk (%50 Ýndirimli)",-0.048,0.1066,0.0478,0.8575,17872.3075,414.85,15.75,Growing
Uluslararasý Ticaret ve Lojistik Yönetimi(Fakülte)(Ýngilizce)(%50 Ýndirimli),0.0073,0.0178,0.0472,0.895,269782.535,314.01,21.8333,Growing
Fransýzca Mütercim ve Tercümanlýk (KKTC Uyruklu),0.6878,0.0175,0.0471,0.93,35310.5,366.056,1.6,Growing
Gayrimenkul Geliþtirme ve Yönetimi (Fakülte),1.6575,-0.0396,0.0466,0.9367,217915.75,340.915,1.6667,Growing
Uçak Bakým ve Onarým (Yüksekokul) (%25 Ýndirimli),0.0104,0.0215,0.0464,0.9225,217444.1425,329.41,4.0,Growing
  Biyoloji,0.0303,0.0183,0.0459,0.9283,246454.8383,308.51,54.1667,Growing
Genetik ve Biyomühendislik (Ýngilizce),0.2372,0.0099,0.0453,0.8233,136357.25,358.2467,1.5,Growing
Uluslararasý Ticaret ve Finansman (Ýngilizce),0.0584,0.0183,0.0445,0.9,292778.494,308.304,32.0,Growing
  Küresel Siyaset ve Uluslararasý Ýliþkiler (Ýngilizce) (UOLP-SUNY Binghamton) (%50 Ýndirimli),0.3383,0.033,0.0444,0.8333,50373.5833,394.3233,1.8333,Growing
Gýda Mühendisliði(Burslu),0.0542,0.0075,0.0433,0.7133,154168.275,354.1633,111.1667,Growing
Ýlahiyat (Arapça) (M.T.O.K.),0.2044,0.0553,0.0432,0.955,267632.51,314.7275,95.5,Growing
  Bilgi ve Belge Yönetimi (Burslu),-0.0142,0.0216,0.0415,0.9367,243314.6233,318.5267,13.1667,Growing
  Çeviribilimi (Ýngilizce) (Ücretli),0.3106,0.0357,0.0406,0.934,18836.3,413.2,1.2,Growing
Bankacýlýk ve Sigortacýlýk (Fakülte) (%50 Ýndirimli),0.6765,-0.0438,0.0406,0.868,785400.4,256.772,1.6,Growing
  Uçak Elektrik ve Elektroniði (Ýngilizce) (%50 Ýndirimli),0.0421,0.0161,0.0406,0.934,135063.8,374.796,2.0,Growing
Gastronomi ve Mutfak Sanatlarý (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.2354,0.0051,0.0396,0.905,121009.0867,357.135,31.8333,Growing
Sermaye Piyasasý (Fakülte) (%50 Ýndirimli),-0.0537,0.0145,0.0395,0.7825,291387.5,303.51,1.25,Growing
  Biyomedikal Mühendisliði (%50 Ýndirimli),-0.0156,0.0285,0.0394,0.7983,137458.31,368.4767,49.8333,Growing
  Uluslararasý Ticaret ve Ýþletmecilik (Ýngilizce) (%50 Ýndirimli),-0.0099,0.0282,0.0394,0.8733,362678.265,300.595,12.6667,Growing
Tekstil ve Moda Tasarýmý (Fakülte) (%50 Ýndirimli),-0.0002,0.0344,0.0386,0.84,86356.125,378.505,1.75,Growing
  Biyokimya,0.0872,0.0127,0.0386,0.9333,211929.5833,322.6983,3.8333,Growing
  Hukuk (Ücretli),-0.0124,0.0185,0.038,0.8317,66180.295,385.655,22.1667,Growing
  Turizm ve Otel Ýþletmeciliði (Ýngilizce) (Burslu),19.975,-0.0542,0.0379,0.9083,323245.2733,350.7167,11.3333,Growing
  Ýktisat (Almanca) ,-0.1661,0.0504,0.0377,0.9417,22173.9167,426.2867,2.0,Growing
Havacýlýk Yönetimi (KKTC Uyruklu),0.4327,-0.026,0.0377,0.91,547868.9,280.854,1.8,Growing
  Ýletiþim Bilimleri (%50 Ýndirimli),0.2155,-0.0218,0.0376,0.8733,193463.25,336.7033,2.1667,Growing
  Dil ve Konuþma Terapisi (Ýngilizce) (%50 Ýndirimli),0.0343,0.0275,0.035,0.9433,169175.8683,348.975,14.0,Growing
  Þehir ve Bölge Planlama (Ýngilizce) (%50 Ýndirimli),0.0239,0.0197,0.0345,0.9317,194194.9933,341.825,8.8333,Growing
  Halkla Ýliþkiler ve Tanýtým (Uzaktan Öðretim),0.0211,0.0132,0.0335,0.93,101395.2333,361.6733,4.5,Growing
Siyaset Bilimi ve Uluslararasý Ýliþkiler (Ýngilizce) (UOLP-New York Eyalet Üniversitesi (Suny Albany)) (Ücretli),0.0357,0.0223,0.0325,0.945,231473.6117,314.9017,2.6667,Growing
Beslenme ve Diyetetik (Fakülte) (Ýngilizce) (%25 Ýndirimli),0.2147,-0.027,0.0323,0.9283,234462.8717,318.2033,43.8333,Growing
Havacýlýk Yönetimi (Burslu),-0.0998,0.0726,0.0315,0.9525,200964.175,330.6825,30.0,Growing
  Denizcilik Ýþletmeleri Yönetimi (Ýngilizce),-0.0597,0.0275,0.0301,0.9467,238759.5767,319.1183,11.0,Growing
Çocuk Geliþimi (Yüksekokul) (Ýngilizce) (Burslu),0.1982,0.0237,0.0296,0.942,207119.0,332.276,1.2,Growing
  Türkçe Öðretmenliði (Burslu),0.0965,0.0646,0.0295,0.885,98693.2625,347.14,5.5,Growing
Arapça Mütercim ve Tercümanlýk (Fakülte) (ÝÖ),-0.0124,0.0257,0.0294,0.934,21161.652,407.778,14.6,Growing
  Ýslam Ýktisadý ve Finans  (Burslu),0.6914,0.0094,0.0286,0.862,239030.218,333.008,2.8,Growing
Petrol ve Doðalgaz Mühendisliði (Ýngilizce) (%50 Ýndirimli),0.1442,0.0098,0.0281,0.82,101111.9517,399.595,5.5,Growing
Biyomedikal Mühendisliði(KKTC Uyruklu),0.4513,-0.0067,0.0278,0.9375,242569.875,332.9925,2.75,Growing
  Reklam Tasarýmý ve Ýletiþimi (Ýngilizce) (Burslu),72.4428,0.0705,0.0276,0.8933,103102.9167,429.7083,1.6667,Growing
Sýnýf Öðretmenliði(Ýngilizce)(%75 Ýndirimli),-0.0168,0.0131,0.0275,0.86,106387.9717,351.0017,19.8333,Growing
Beden Eðitimi ve Spor Öðretmenliði (Yüksekokul),0.0506,0.033,0.0273,0.8667,112192.29,360.88,4.6667,Growing
Gazetecilik (ÝÖ),0.0037,0.0193,0.0272,0.9467,141242.2467,346.9133,42.1667,Growing
  Çocuk Geliþimi (Burslu),0.1983,0.0432,0.0268,0.93,281889.3875,317.39,23.25,Growing
  Gazetecilik (%50 Ýndirimli),0.1307,0.01,0.0266,0.8833,233744.565,324.9733,20.0,Growing
  Yeni Medya ve Ýletiþim (Ýngilizce) (%50 Ýndirimli),0.0161,0.0343,0.0264,0.8583,201344.375,329.42,17.6667,Growing
Deniz Ulaþtýrma Ýþletme Mühendisliði (Fakülte) (Ýngilizce) (UOLP- SUNY Maritime) (%50 Ýndirimli),0.0786,0.0097,0.0254,0.7983,111044.7117,381.4833,3.8333,Growing
  Ýlahiyat (ÝÖ),0.051,0.0253,0.0253,0.94,73802.2875,361.5675,40.75,Growing
Uluslararasý Ticaret ve Finansman (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.0129,0.0197,0.0251,0.9,248118.312,327.546,31.4,Growing
Kuyumculuk ve Mücevher Tasarýmý (Yüksekokul),0.0313,0.0309,0.0237,0.9517,211153.5,324.1167,2.5,Growing
Çizgi Film ve Animasyon (%50 Ýndirimli),0.0644,0.0743,0.0237,0.838,145340.142,350.41,6.6,Growing
  Genetik ve Yaþam Bilimleri Programlarý (Ýngilizce) (%50 Ýndirimli),0.103,0.0376,0.0229,0.9425,97654.25,389.41,1.25,Growing
Bankacýlýk ve Sigortacýlýk (Yüksekokul) (%50 Ýndirimli),0.7337,-0.0638,0.0229,0.9425,555384.7925,279.845,1.75,Growing
  Uluslararasý Ticaret ve Ýþletmecilik (Ýngilizce) (Ücretli),0.1007,0.0392,0.0228,0.9117,501874.565,277.57,7.5,Growing
  Psikoloji (Ücretli),0.1018,0.0057,0.0226,0.9483,334810.8933,300.85,35.6667,Growing
  Kültür Varlýklarýný Koruma ve Onarým (%50 Ýndirimli),0.108,0.0053,0.0223,0.945,244220.985,321.5017,6.6667,Growing
  Yapay Zeka Mühendisliði (Ýngilizce) (KKTC Uyruklu),0.1217,0.0263,0.0218,0.938,146143.242,366.888,6.4,Growing
Biliþim Sistemleri ve Teknolojileri (Yüksekokul) (Ýngilizce) (%50 Ýndirimli),0.1503,0.015,0.0216,0.935,213331.0067,341.1217,6.6667,Growing
  Arap Dili ve Edebiyatý (Arapça) (ÝÖ),0.617,-0.0202,0.0203,0.946,27034.5,375.542,2.8,Growing
  Malzeme Bilimi ve Mühendisliði (Ýngilizce),-0.0525,0.0338,0.0201,0.9067,92050.355,399.1367,3.8333,Growing
  Ýstatistik (%50 Ýndirimli),0.0198,0.0531,0.0194,0.9183,225199.5233,389.2233,21.0,Growing
  Halkla Ýliþkiler ve Tanýtým (Ýngilizce) (Ücretli),5.1949,-0.0188,0.0188,0.8433,368318.7083,314.4083,2.3333,Growing
Bilgi Güvenliði Teknolojisi (Yüksekokul) (Ýngilizce) (Burslu),0.1405,-0.0051,0.0186,0.9483,212151.2833,342.0733,3.5,Growing
  Endüstriyel Tasarým Mühendisliði (M.T.O.K.),0.1233,0.0075,0.0184,0.895,130997.805,363.715,3.3333,Growing
Almanca Öðretmenliði (Almanca),0.0128,0.0231,0.0184,0.95,16195.29,410.172,4.8,Growing
Animasyon ve Oyun Tasarýmý(Ýngilizce)(%50 Ýndirimli),0.0739,0.0158,0.0183,0.9567,211010.8633,327.07,6.1667,Growing
  Matematik ve Bilgisayar Bilimleri (Ýngilizce) (Burslu),0.0274,0.0631,0.0178,0.9467,259582.2083,311.205,3.3333,Growing
  Biyoloji Öðretmenliði ,-0.0114,0.0296,0.0178,0.88,180069.4667,332.23,6.1667,Growing
  Ýç Mimarlýk (Ücretli),0.8376,-0.0678,0.0176,0.9067,324246.9133,299.3217,6.8333,Growing
  Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (%25 Ýndirimli),0.0816,0.0146,0.0173,0.8967,171926.855,365.8967,105.5,Growing
  Ýngilizce Öðretmenliði (Ücretli),0.0876,0.0108,0.0172,0.954,189774.41,325.136,4.8,Growing
  Görsel Ýletiþim Tasarýmý (Ýngilizce) (%50 Ýndirimli),-0.0025,0.0265,0.0168,0.885,177499.2333,341.035,28.1667,Growing
  Antropoloji (KKTC Uyruklu),0.1669,-0.0261,0.0167,0.9583,549408.8883,254.25,2.0,Growing
Ýç Mimarlýk ve Çevre Tasarýmý (Ýngilizce) (%25 Ýndirimli),0.0424,0.0142,0.0161,0.95,246805.022,312.502,37.0,Growing
  Tarih Öncesi Arkeolojisi,0.8832,0.0167,0.0152,0.96,197778.5,336.16,2.0,Growing
  Astronomi ve Uzay Bilimleri,0.1035,0.0109,0.0152,0.9583,145727.5167,356.5783,4.8333,Growing
  Coðrafya (Uzaktan Öðretim),0.196,0.0192,0.0152,0.96,13176.1667,409.0517,1.8333,Growing
  Turizm Rehberliði (ÝÖ),0.0037,0.0445,0.0151,0.9675,31388.69,376.1925,39.75,Growing
  Aktüerya Bilimleri,0.0423,0.0107,0.0147,0.948,215117.184,322.316,4.8,Growing
  Ýletiþim ve Tasarýmý (Ýngilizce) (%50 Ýndirimli),0.133,-0.0007,0.0147,0.8867,213827.7383,360.8233,112.0,Growing
  Ýktisadi ve Ýdari Programlar (Ýngilizce) (%50 Ýndirimli),0.1985,0.0316,0.0141,0.9075,197881.375,322.75,1.25,Growing
Bilgisayar ve Öðretim Teknolojileri Öðretmenliði (Ýngilizce) (Ücretli),0.0663,0.0116,0.0133,0.8983,128242.83,371.8967,12.3333,Growing
Mütercim-Tercümanlýk(Fakülte)(Türkçe-Rusça),0.1508,0.011,0.0131,0.9383,31272.8333,367.55,1.0,Growing
Gemi Makineleri Ýþletme Mühendisliði(Fakülte)(Ýngilizce)(UOLP-SUNY Maritime)(%50 Ýndirimli),0.0654,0.0277,0.0129,0.946,111824.066,376.082,2.8,Growing
Otomotiv Mühendisliði(M.T.O.K.),0.0533,0.0114,0.0125,0.895,139410.02,361.7933,8.1667,Growing
  Siyaset Bilimi ve Uluslararasý Ýliþkiler (Ýngilizce) (%50 Ýndirimli),0.1264,0.0037,0.0122,0.915,209859.3767,343.1383,92.8333,Growing
  Tarih,0.0174,0.0139,0.012,0.9617,71478.6033,372.57,97.1667,Growing
  Biliþim Sistemleri ve Teknolojileri (%50 Ýndirimli),0.0206,0.0274,0.0119,0.955,240517.6533,311.595,9.1667,Growing
Ýstatistik (Ücretli),0.106,0.0166,0.0118,0.9283,441085.125,284.2,2.8333,Growing
Ýç Mimarlýk,0.1623,-0.0099,0.0114,0.8583,105781.4733,389.0383,58.5,Growing
  Metalurji ve Malzeme Mühendisliði (Ýngilizce) (%50 Ýndirimli),0.0404,0.0125,0.0112,0.8783,93558.0833,399.4033,62.8333,Growing
Metalurji ve Malzeme Mühendisliði (%50 Ýndirimli),0.0137,0.0196,0.0109,0.8583,129487.4617,372.7333,32.8333,Growing
  Elektrik Mühendisliði (ÝÖ),0.0474,0.0155,0.0107,0.8917,119370.0733,378.0217,27.6667,Growing
  Sigortacýlýk ve Sosyal Güvenlik (Burslu),0.0532,0.039,0.0105,0.9583,365270.5983,293.8017,2.8333,Growing
  Moda Tasarýmý,-0.204,0.0753,0.0103,0.9925,133269.25,350.735,3.0,Growing
  Maliye (Burslu),-0.1257,0.0455,0.01,0.9667,232309.3333,319.885,1.3333,Growing
Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce) (%50 Ýndirimli),0.5585,-0.0313,0.0099,0.825,314186.5667,328.5017,15.5,Growing
Makine Mühendisliði(Almanca),0.0654,0.0074,0.0094,0.83,133811.3533,368.0233,92.3333,Growing
  Ýslami Ýlimler (ÝÖ),0.0554,0.0038,0.0092,0.9633,54858.0983,377.5783,39.6667,Stable
Matematik(ÝÖ),0.01,0.0212,0.0092,0.96,173068.5717,342.5867,79.8333,Stable
  Ýktisadi ve Ýdari Bilimler Programlarý (Ýngilizce) (%50 Ýndirimli),0.1454,0.0169,0.009,0.9283,80575.7633,398.3483,2.8333,Stable
Eczacýlýk (Ücretli),0.0257,0.0101,0.0089,0.9683,65688.2267,418.9383,4.5,Stable
  Ebelik (%50 Ýndirimli),0.3342,0.0111,0.0087,0.8967,51626.6883,396.8483,50.5,Stable
Turizm ve Otel Ýþletmeciliði(Fakülte)(Ýngilizce)(%75 Ýndirimli),-0.4486,0.1067,0.0087,0.966,83348.764,402.942,3.8,Stable
Gemi Makineleri Ýþletme Mühendisliði (Fakülte) (Ýngilizce) (%50 Ýndirimli),-0.0295,0.0267,0.0086,0.88,115596.08,382.6333,6.8333,Stable
  Bankacýlýk ve Sigortacýlýk (Ýngilizce) (Burslu),0.0639,-0.0217,0.0082,0.96,1055272.3333,235.7333,1.0,Stable
  Okul Öncesi Öðretmenliði (Ýngilizce) (%50 Ýndirimli),-0.0639,0.0239,0.0082,0.9567,50176.6783,377.3383,21.6667,Stable
  Yazýlým Mühendisliði (M.T.O.K.) (ÝÖ) ,-0.0148,0.0255,0.0081,0.945,165430.9917,340.6533,9.6667,Stable
  Özel Eðitim Öðretmenliði (Ýngilizce) (%50 Ýndirimli),0.3029,0.0189,0.008,0.9667,38783.8033,383.8567,21.1667,Stable
  Ekonometri (Ýngilizce),0.3279,0.019,0.008,0.9667,127263.7217,376.9017,4.0,Stable
Hukuk (UOLP-Köln Üniversitesi) (%50 Ýndirimli),0.2035,0.023,0.0079,0.97,17036.3333,430.22,2.0,Stable
Muhasebe ve Finans Yönetimi (Fakülte) (%50 Ýndirimli),0.7375,-0.0912,0.0076,0.965,749720.2825,256.5975,3.5,Stable
  Elektrik-Elektronik Mühendisliði (Ýngilizce) (%50 Ýndirimli),0.0241,0.0191,0.0074,0.915,97132.8783,403.74,44.8333,Stable
  Enerji Sistemleri Mühendisliði (Ýngilizce) (%50 Ýndirimli),-0.0049,0.0221,0.0072,0.835,124124.0683,375.3583,21.3333,Stable
  Bitki Koruma,0.0398,0.0186,0.0072,0.9617,209953.105,324.6417,31.6667,Stable
Fen Bilgisi Öðretmenliði (Ýngilizce),0.0007,0.0129,0.0071,0.9483,136870.215,357.11,51.3333,Stable
Elektronik ve Haberleþme Mühendisliði (%50 Ýndirimli),0.0145,0.0221,0.007,0.9717,49923.0767,456.6917,7.8333,Stable
  Kentsel Tasarým ve Peyzaj Mimarlýðý (Ýngilizce) (%50 Ýndirimli),0.6278,-0.0163,0.0067,0.9617,218053.5433,355.8483,4.5,Stable
Yönetim Biliþim Sistemleri (Fakülte) (Ýngilizce) (Ücretli),0.2743,-0.0126,0.0066,0.95,160940.464,364.042,37.8,Stable
  Kimya Öðretmenliði ,0.1057,0.0306,0.0063,0.9633,137376.2283,358.4833,5.3333,Stable
  Fotoðraf,0.7822,0.0271,0.0061,0.9733,49160.5,376.65,1.8333,Stable
Havacýlýk Elektrik ve Elektroniði(Fakülte)(KKTC Uyruklu),0.1385,0.0064,0.0059,0.965,145911.0433,364.8633,9.5,Stable
  Mimarlýk (Ýngilizce) (%50 Ýndirimli),0.0356,0.0427,0.0054,0.935,187905.835,362.12,41.3333,Stable
  Moleküler Biyoloji ve Genetik (Ýngilizce),0.0328,0.015,0.0051,0.9583,168162.335,357.6183,50.6667,Stable
  Kimya,-0.0387,0.0415,0.0049,0.9617,233480.0367,314.14,53.0,Stable
Týp (Ücretli),0.039,0.0064,0.0048,0.925,25049.57,471.2117,14.6667,Stable
Egzersiz ve Spor Bilimleri (Burslu),-0.0518,0.0233,0.0045,0.9725,240110.7075,317.485,2.5,Stable
Arap Dili ve Edebiyatý (Uzaktan Öðretim),8.1405,0.028,0.004,0.9583,84324.9033,403.5033,8.6667,Stable
Havacýlýk Yönetimi(Fakülte)(KKTC Uyruklu),1.3302,-0.1283,0.0035,0.9733,458726.7767,297.2133,6.0,Stable
  Fransýzca Öðretmenliði (KKTC Uyruklu),1.067,0.0302,0.0034,0.978,93246.866,332.9,2.4,Stable
  Reklamcýlýk (%50 Ýndirimli),0.0686,0.0128,0.0033,0.98,58829.355,425.2467,6.1667,Stable
  Biliþim Sistemleri ve Teknolojileri (Ýngilizce) (Burslu),0.2368,-0.0055,0.0031,0.9117,120258.8067,392.5833,7.5,Stable
Fizik(Ýngilizce)(Burslu),0.0608,0.0068,0.0029,0.9767,80502.0417,434.4483,7.3333,Stable
Türk Dili ve Edebiyatý(Ýngilizce),0.0087,0.0092,0.0028,0.9483,81837.0283,370.6333,221.1667,Stable
  Gazetecilik (Uzaktan Öðretim),1.948,-0.0121,0.0027,0.9817,41671.93,400.5683,3.1667,Stable
  Biyomühendislik (Ýngilizce) (KKTC Uyruklu),0.1501,0.0345,0.0026,0.9767,247251.135,345.45,8.1667,Stable
Hemþirelik (Fakülte) (Ýngilizce) (%50 Ýndirimli),-0.0125,0.0341,0.0025,0.9717,236141.6233,307.9283,47.5,Stable
  Hititoloji,-0.0556,0.0725,0.0023,0.98,23824.25,388.3417,1.8333,Stable
  Geleneksel Türk Sanatlarý (M.T.O.K.),0.3517,0.0448,0.0023,0.98,58177.375,377.775,1.75,Stable
  Ýstatistik (KKTC Uyruklu),0.7347,-0.1257,0.0023,0.98,279747.285,389.9975,8.5,Stable
Diþ Hekimliði (%50 Ýndirimli),0.0689,0.0029,0.0022,0.9567,39463.1833,450.6517,20.5,Stable
  Malzeme Bilimi ve Teknolojileri (Almanca),-0.0349,0.0372,0.0022,0.9817,63894.1667,424.8833,3.3333,Stable
Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði (Ýngilizce) (Ücretli),0.0748,0.0076,0.0019,0.975,68969.16,422.795,8.6667,Stable
  Mekatronik Mühendisliði (M.T.O.K.) (ÝÖ) ,-0.0265,0.0288,0.0019,0.98,167148.3717,340.3767,10.1667,Stable
  Sosyal Hizmet (Uzaktan Öðretim),0.4117,-0.0028,0.0017,0.984,80727.466,366.934,1.6,Stable
  Sosyoloji (Ýngilizce) (%50 Ýndirimli) ,0.1032,-0.0017,0.0017,0.9733,178189.7783,338.7017,53.6667,Stable
  Uluslararasý Ýliþkiler (Ýngilizce) (Açýköðretim),0.218,0.0017,0.0017,0.9133,231376.72,347.28,61.1667,Stable
  Bulgar Dili ve Edebiyatý (Bulgarca),0.6238,0.0158,0.0011,0.9833,35010.5,353.6883,1.0,Stable
  Fizik Öðretmenliði ,0.0253,0.0226,0.0008,0.99,108187.4717,381.7983,4.5,Stable
Coðrafya(ÝÖ),0.0423,0.0132,0.0008,0.9883,84002.5167,357.0067,48.8333,Stable
Ýngilizce Mütercim ve Tercümanlýk (%25 Ýndirimli),0.1771,-0.0017,0.0007,0.974,16611.88,422.208,85.6,Stable
  Siyaset Bilimi ve Uluslararasý Ýliþkiler (Fransýzca) (%50 Ýndirimli),0.332,0.0257,0.0007,0.99,120966.0,356.946,1.2,Stable
  Mühendislik ve Doða Bilimleri Programlarý (Ýngilizce) (%50 Ýndirimli),-0.118,0.034,0.0007,0.9867,45360.205,464.63,5.6667,Stable
Uluslararasý Giriþimcilik (%50 Ýndirimli),-0.2017,0.0803,0.0007,0.99,183392.6,334.204,1.2,Stable
Tekstil Mühendisliði(M.T.O.K.),0.0643,0.0165,0.0006,0.8867,110914.8967,388.245,46.6667,Stable
  El Sanatlarý,0.0842,0.0251,0.0005,0.9917,56729.0833,368.8283,1.8333,Stable
  Rehberlik ve Psikolojik Danýþmanlýk (Ýngilizce) (%50 Ýndirimli),-0.1107,0.0253,0.0005,0.8917,66712.5483,386.4283,12.1667,Stable
  Ortez ve Protez (Ankara),0.5429,-0.0741,0.0004,0.992,204038.0,333.332,1.0,Stable
Endüstriyel Tasarým (Fakülte) (Ýngilizce) (%50 Ýndirimli),0.0828,0.0401,0.0004,0.99,51687.1267,448.1567,9.6667,Stable
  Sinema ve Televizyon (Ýngilizce) (%50 Ýndirimli),1.6369,0.0016,0.0003,0.9933,78178.56,404.1033,4.5,Stable
  Odyoloji (Ankara),0.1648,0.0053,0.0003,0.9925,185837.75,330.125,1.0,Stable
Hemþirelik(Fakülte)(Ýngilizce)(%50 Ýndirimli),-0.1723,0.0821,0.0003,0.992,130291.772,368.414,13.8,Stable
  Tarým Ekonomisi,0.0005,0.0166,0.0003,0.9933,223332.6483,318.6783,21.8333,Stable
Ýngilizce Öðretmenliði (Ýngilizce) (%50 Ýndirimli),0.0197,0.0184,0.0002,0.9917,20953.6683,407.6717,72.0,Stable
  Hungaroloji,0.4155,0.0172,0.0002,0.995,22865.8333,388.5417,1.0,Stable
  Çaðdaþ Yunan Dili ve Edebiyatý,0.0358,0.0118,0.0002,0.98,14781.2917,424.09,5.5,Stable
Reklamcýlýk (ÝÖ),-0.0019,0.0282,0.0002,0.9933,76259.8417,368.92,4.6667,Stable
  Deniz Ulaþtýrma Ýþletme Mühendisliði (KKTC Uyruklu),-0.0742,0.0358,0.0002,0.995,102551.2367,388.355,8.0,Stable
Lojistik Yönetimi (Fakülte) (Ýngilizce),1.9522,-0.1407,0.0002,0.9933,311989.15,317.22,22.3333,Stable
  Grafik Tasarýmý,0.0289,0.0152,0.0002,0.995,197861.25,323.7483,2.0,Stable
  Ortez ve Protez,0.1249,-0.028,0.0002,0.994,202367.9,325.106,2.0,Stable
  Matematik (Fransýzca),-0.0417,0.0115,0.0002,0.995,12831.5,491.3917,1.0,Stable
Ýlahiyat(ÝÖ),0.0607,0.0115,0.0001,0.9967,29724.5967,402.41,68.8333,Stable
  Alman Dili ve Edebiyatý (Almanca) (ÝÖ),-0.0262,0.0198,0.0001,0.9967,14310.97,426.955,8.8333,Stable
Ýstatistik (Ýngilizce),-0.3973,0.0488,0.0001,0.996,19551.8,479.234,1.0,Stable
  Adli Bilimler,0.1157,0.0264,0.0001,0.995,88081.5,396.705,1.0,Stable
  Coðrafya (Ýngilizce),0.0352,0.0314,0.0001,0.996,8206.4,417.472,1.0,Stable
  Leh Dili ve Edebiyatý (Lehçe),0.0198,0.0116,0.0001,0.996,15699.0,423.708,1.8,Stable
  Maliye (Ýngilizce),0.0809,0.0103,0.0001,0.9967,139446.5,342.0367,1.3333,Stable
  Bitkisel Üretim ve Teknolojileri (Ýngilizce) (%50 Ýndirimli),-0.2827,0.1241,0.0001,0.9967,480179.7767,271.6833,2.3333,Stable
Veterinerlik (Ýngilizce) (Burslu),-0.0644,0.0265,0.0001,0.9967,61521.0,431.2683,2.1667,Stable
  Moleküler Biyoteknoloji (Almanca),-0.0988,0.0261,0.0001,0.9967,39381.25,451.8783,2.0,Stable
  Fotonik,0.0919,0.0596,0.0001,0.995,122635.25,369.115,1.0,Stable
  Psikoloji (Ýngilizce),0.1148,-0.0073,0.0001,0.995,55444.055,423.5133,15.6667,Stable
  Ýþletme (Almanca)  ,-0.1647,0.0273,0.0001,0.9967,15222.0,430.0,3.0,Stable
